File,Subject,Task,Run,Method,Rank,Rank_R1,Rank_R2,Original_Parameters,Compressed_Parameters,Compression_Ratio,Compression_Factor,Reconstruction_Error,Reconstruction_Error_Percent,Explained_Variance,Explained_Variance_Percent,Runtime_Seconds,Status
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 3, 3, 1)",3,3,8406000,5073,0.9993965024982155,1657.0076877587226,0.5744244975869426,57.44244975869426,0.6700364965719885,67.00364965719885,7.1342497939995155,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 3, 5, 1)",3,5,8406000,8055,0.999041756,1043.5754189944134,0.5678881858814494,56.78881858814494,0.6775030083362763,67.75030083362763,2.6016790049998235,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 5, 3, 1)",5,3,8406000,5653,0.9993275041636926,1486.9980541305501,0.5356278548231502,53.56278548231502,0.7131028011375502,71.31028011375503,1.9842982620002658,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 5, 5, 1)",5,5,8406000,8755,0.9989584820366405,960.1370645345517,0.5153345051453804,51.53345051453804,0.7344303478065659,73.44303478065659,3.049037877000046,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 5, 7, 1)",5,7,8406000,11857,0.9985894599095884,708.9483005819347,0.5083664676731902,50.83664676731902,0.7415635345454834,74.15635345454834,2.648511503000009,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 7, 5, 1)",7,5,8406000,9455,0.998875208,889.0534109,0.4762540445441738,47.62540445441738,0.7731820850553163,77.31820850553163,3.9288953780005613,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 7, 7, 1)",7,7,8406000,12677,0.9984919105400905,663.0906366,0.4587097601940692,45.870976019406925,0.7895853559026995,78.95853559026995,2.613315448999856,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 7, 10, 1)",7,10,8406000,17510,0.997916964,480.0685322672758,0.4502489784322865,45.02489784322865,0.7972758574206824,79.72758574206824,2.331009346000428,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 10, 7, 1)",10,7,8406000,13907,0.9983455864858435,604.4438052779176,0.41358913376694945,41.35891337669494,0.8289440284299043,82.89440284299043,3.0968938649994016,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 10, 10, 1)",10,10,8406000,19010,0.9977385201046871,442.18832193582324,0.38544242411297075,38.54424241129708,0.8514341376939168,85.14341376939169,2.8958321230002184,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 10, 15, 1)",10,15,8406000,27515,0.996726743,305.50608758858806,0.37836057558495506,37.836057558495504,0.8568432748430216,85.68432748430216,2.3950906069994744,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 15, 10, 1)",15,10,8406000,21510,0.997441113,390.7949790794979,0.31477804809229476,31.477804809229475,0.90091478,90.09147804,1.938148891,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 15, 15, 1)",15,15,8406000,30765,0.9963401142041399,273.2325694783033,0.2918160987344943,29.181609873449432,0.9148433645193799,91.48433645193799,2.1997584820001066,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 15, 20, 1)",15,20,8406000,40020,0.9952391149179157,210.04497751124438,0.29106720419951015,29.106720419951017,0.9152798826394807,91.52798826394807,2.5377214820000518,Success
../data/preprocessed/002/auditory/run01_epochs.npz,002,auditory,run01,TT,"(1, 20, 15, 1)",20,15,8406000,34015,0.9959534856055199,247.12626782301925,0.23856165783483113,23.856165783483114,0.9430883354110969,94.30883354110969,3.180501241999991,Success
