File,Subject,Task,Run,Method,Rank,Rank_R1,Rank_R2,Original_Parameters,Compressed_Parameters,Compression_Ratio,Compression_Factor,Reconstruction_Error,Reconstruction_Error_Percent,Explained_Variance,Explained_Variance_Percent,Runtime_Seconds,Status
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 3, 5, 1)",3,5,8406000,8055,0.999041756,1043.5754189944134,0.685387577,68.53875771,0.5302438691329127,53.024386913291266,1.5732982120007364,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 5, 3, 1)",5,3,8406000,5653,0.9993275041636926,1486.9980541305501,0.6402278965836896,64.02278965836896,0.5901082404360244,59.01082404360244,2.017387443998814,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 5, 5, 1)",5,5,8406000,8755,0.9989584820366405,960.1370645345517,0.6196784035811821,61.96784035811821,0.6159986761350777,61.599867613507776,1.964390839000771,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 5, 7, 1)",5,7,8406000,11857,0.9985894599095884,708.9483005819347,0.6122750536804479,61.22750536804479,0.6251192586406046,62.51192586406046,1.6913906749996386,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 7, 5, 1)",7,5,8406000,9455,0.998875208,889.0534109,0.5839158791314523,58.39158791314523,0.6590422460981431,65.90422461,1.9239605189995928,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 7, 7, 1)",7,7,8406000,12677,0.9984919105400905,663.0906366,0.5569733849831116,55.697338498311154,0.6897806484204547,68.97806484204547,1.8428331690010964,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 7, 10, 1)",7,10,8406000,17510,0.997916964,480.0685322672758,0.5449885536648622,54.49885536648622,0.7029874763742816,70.29874763742816,1.7888445280004817,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 10, 7, 1)",10,7,8406000,13907,0.9983455864858435,604.4438052779176,0.5106904252947598,51.069042529475986,0.7391952895122573,73.91952895122573,1.8666399729991099,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 10, 10, 1)",10,10,8406000,19010,0.9977385201046871,442.18832193582324,0.4649359672084879,46.49359672084879,0.7838345463959078,78.38345463959078,1.763637228999869,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 10, 15, 1)",10,15,8406000,27515,0.996726743,305.50608758858806,0.45809628160532556,45.809628160532554,0.7901477967793742,79.01477967793741,1.9165799829988828,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 15, 10, 1)",15,10,8406000,21510,0.997441113,390.7949790794979,0.3798800973545745,37.98800973545745,0.855691112,85.56911116,2.108900614999584,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 15, 15, 1)",15,15,8406000,30765,0.9963401142041399,273.2325694783033,0.35373836625913796,35.373836625913796,0.8748691682363161,87.48691682363162,1.9543858699998964,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 15, 20, 1)",15,20,8406000,40020,0.9952391149179157,210.04497751124438,0.35300186916160187,35.300186916160186,0.8753896803684154,87.53896803684154,1.8327442829995562,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 20, 15, 1)",20,15,8406000,34015,0.9959534856055199,247.12626782301925,0.28830613604334204,28.830613604334204,0.916879572,91.68795719,2.049369217998901,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/auditory/run02_epochs.npz,002,auditory,run02,TT,"(1, 20, 20, 1)",20,20,8406000,44020,0.9947632643349988,190.95865515674694,0.28705953155142916,28.705953155142915,0.917596825,91.75968253454741,2.1479709149989503,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 3, 3, 1)",3,3,3068190,4692,0.9984707596335298,653.9194373401534,0.5973058255461587,59.73058255461587,0.6432257507686219,64.32257508,0.5164665040010732,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 3, 5, 1)",3,5,3068190,7674,0.9974988511141748,399.81626270523844,0.5771348295477194,57.71348295477195,0.6669153885229251,66.69153885229251,0.5509729409986903,Success
/home/master/MasterThesis/OPM-MEG MPS/data/preprocessed_rest_epochs/002/motor/run01_epochs.npz,002,motor,run01,TT,"(1, 5, 3, 1)",5,3,3068190,5018,0.9983645080650155,611.4368274212834,0.5630490277821204,56.30490277821204,0.682975792,68.29757923,0.44789596000009624,Success
